V_GS,V_DS,I_D
0.5,4,3.01E-04
0.5,8,3.30E-04
0.5,16,3.89E-04
0.5,20,4.45E-04
3.5,4,6.61E-02
3.5,8,0.066107
3.5,16,0.066107
3.5,20,0.066107
4.5,4,1.95E-01
4.5,8,0.195481
4.5,16,0.195481
4.5,20,0.195481
