V_GS,V_DS,I_D
1,2,0.000286
1,5,0.000306
1,15,0.000384
1,20,0.00041
2.5,2,0.00316
2.5,5,0.003163
2.5,15,0.003163
2.5,20,0.003163
4,2,0.123
4,5,0.123462
4,15,0.123462
4,20,0.123462
